Card,Precision,Recall,F1-Score,Support
10s,100.0,100.0,100.0,12
2c,100.0,100.0,100.0,12
2d,100.0,100.0,100.0,12
2h,100.0,100.0,100.0,12
2s,100.0,100.0,100.0,12
3c,100.0,100.0,100.0,12
3d,100.0,100.0,100.0,12
3h,100.0,100.0,100.0,12
3s,100.0,100.0,100.0,12
4c,100.0,100.0,100.0,12
4d,100.0,100.0,100.0,12
4h,100.0,100.0,100.0,12
4s,100.0,100.0,100.0,12
5c,100.0,100.0,100.0,12
5d,100.0,100.0,100.0,12
5h,100.0,100.0,100.0,12
5s,100.0,100.0,100.0,12
6c,100.0,100.0,100.0,12
6d,100.0,100.0,100.0,12
6h,100.0,100.0,100.0,12
6s,100.0,100.0,100.0,12
7c,100.0,100.0,100.0,12
7d,100.0,100.0,100.0,12
7h,100.0,100.0,100.0,12
7s,100.0,100.0,100.0,12
Ac,100.0,100.0,100.0,12
Ad,100.0,100.0,100.0,12
Ah,100.0,100.0,100.0,12
As,100.0,100.0,100.0,12
Jc,100.0,100.0,100.0,12
Jd,100.0,100.0,100.0,12
Jh,100.0,100.0,100.0,12
Js,100.0,100.0,100.0,12
Kc,100.0,100.0,100.0,12
Kd,100.0,100.0,100.0,12
Kh,100.0,100.0,100.0,12
Ks,100.0,100.0,100.0,12
Qc,100.0,100.0,100.0,12
Qd,100.0,100.0,100.0,12
Qh,100.0,100.0,100.0,12
Qs,100.0,100.0,100.0,12
